property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score
453,4307-013-011,129B165 675,1807 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,8654.8,2874.0,1953.0,1.0,0100 - Residential - Single Family Residence,1475635.0,832918.0,2308553.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013011],,93.8
454,4307-013-012,129B165 672,1801 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,8157.2,7713.0,2007.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,767471.0,2235483.0,3002954.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013012],,93.8
455,4307-013-013,129B165 648,1719 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7698.7,2922.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,610143.0,382218.0,992361.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013013],,93.8
456,4307-013-014,129B165 627,1713 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7374.6,2511.0,1953.0,1.0,0100 - Residential - Single Family Residence,1342214.0,473516.0,1815730.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013014],,93.8
457,4307-013-015,129B165 604,1707 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7586.2,4330.0,2012.0,1.0,0100 - Residential - Single Family Residence,503228.0,941276.0,1444504.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013015],,93.8
458,4307-013-019,129B165 674,1800 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,9974.7,2758.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,751871.0,428253.0,1180124.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013019],,93.8
459,4307-013-021,129B165 730,1818 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10231.8,6887.0,2008.0,1.0,0100 - Residential - Single Family Residence,1722754.0,2072489.0,3795243.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013021],,93.8
460,4307-013-024,129B165 585,9760 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,8903.2,4280.0,1953.0,1.0,0100 - Residential - Single Family Residence,2637452.0,426651.0,3064103.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013024],,93.8
461,4307-013-025,129B165 632,1712 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,9636.3,5118.0,2016.0,1.0,0100 - Residential - Single Family Residence,1474223.0,1405975.0,2880198.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013025],,93.8
462,4307-013-027,129B165 711,1812 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10146.1,8770.0,2008.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,2914327.0,5611917.0,8526244.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307013027],,93.8
463,4307-014-009,129B165 905,2024 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,17267.1,3400.0,1954.0,1.0,0101 - Residential - Single Family Residence - Pool,888754.0,418931.0,1307685.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014009],,93.8
464,4307-014-010,129B165 871,2021 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6394.4,5914.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,3030809.0,2979671.0,6010480.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014010],,93.8
465,4307-014-011,129B165 861,2017 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,13135.1,3415.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,107131.0,126855.0,233986.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014011],,93.8
466,4307-014-012,129B165 835,2007 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,12637.5,3280.0,1955.0,1.0,0101 - Residential - Single Family Residence - Pool,695554.0,479431.0,1174985.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014012],,93.8
467,4307-014-013,129B165 815,2001 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,12140.1,6802.0,2013.0,1.0,0101 - Residential - Single Family Residence - Pool,2370000.0,2723394.0,5093394.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014013],,93.8
468,4307-014-014,129B165 791,1919 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,11642.1,3029.0,1953.0,1.0,0101 - Residential - Single Family Residence - Pool,83367.0,93342.0,176709.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014014],,93.8
469,4307-014-015,129B165 770,1913 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,11144.3,3385.0,1955.0,1.0,0101 - Residential - Single Family Residence - Pool,82473.0,122056.0,204529.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014015],,93.8
471,4307-014-016,129B165 767,1907 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10646.4,,,,0100 - Residential - Single Family Residence,626604.0,2422500.0,3049104.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014016],,84.4
472,4307-014-017,129B165 742,1901 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10148.5,5220.0,1955.0,1.0,0100 - Residential - Single Family Residence,456559.0,667381.0,1123940.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014017],,93.8
473,4307-014-020,129B165 852,2006 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10745.8,3051.0,1954.0,1.0,8800 - Miscellaneous - Government Owned Property,589976.0,399336.0,989312.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014020],,93.8
474,4307-014-024,129B165 863,2012 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10791.9,5168.0,1954.0,1.0,0100 - Residential - Single Family Residence,733062.0,882407.0,1615469.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014024],,93.8
475,4307-014-026,129B165 803,1918 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10574.5,5078.0,2004.0,1.0,0101 - Residential - Single Family Residence - Pool,881660.0,1066067.0,1947727.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014026],,93.8
476,4307-014-028,129B165 825,2000 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10660.1,7565.0,2010.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,845263.0,2289183.0,3134446.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014028],,93.8
477,4307-014-030,129B165 880,2018 S ROXBURY DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,10102.8,5240.0,2013.0,0.0,0101 - Residential - Single Family Residence - Pool,1619322.0,2083964.0,3703286.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014030],Yes,96.9
478,4307-014-908,129B165 1213,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,9907.0,,,,880V - Miscellaneous - Government Owned Property - Vacant Land,0.0,0.0,0.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307014908],,78.1
479,4307-015-001,129B165 607,9700 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7740.5,4056.0,2019.0,1.0,0100 - Residential - Single Family Residence,1632000.0,1577363.0,3209363.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015001],,93.8
480,4307-015-002,129B165 606,9706 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7141.2,2129.0,1949.0,1.0,0100 - Residential - Single Family Residence,801060.0,320378.0,1121438.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015002],,93.8
481,4307-015-003,129B165 603,9712 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,7043.1,5303.0,1949.0,1.0,0101 - Residential - Single Family Residence - Pool,117411.0,636070.0,753481.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015003],,93.8
482,4307-015-004,129B165 601,9718 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6945.0,2122.0,1948.0,1.0,0100 - Residential - Single Family Residence,1088459.0,524310.0,1612769.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015004],,93.8
483,4307-015-005,129B165 598,9722 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6846.9,4067.0,2020.0,1.0,0100 - Residential - Single Family Residence,1556000.0,960917.0,2516917.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015005],,93.8
484,4307-015-006,129B165 597,9728 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6748.8,2449.0,1948.0,1.0,0100 - Residential - Single Family Residence,1251563.0,422985.0,1674548.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015006],,93.8
485,4307-015-007,129B165 596,9734 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6650.7,2211.0,1949.0,1.0,0100 - Residential - Single Family Residence,570577.0,284059.0,854636.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015007],,93.8
487,4307-015-008,129B165 650,9719 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2-O,Low Residential,WEST LOS ANGELES TRANSPORTATION IMPROVEMENT AND MITIGATION,3,6846.4,2329.0,1949.0,1.0,0104 - Residential - Single Family Residence - Therapy Pool (Spa),272518.0,499392.0,771910.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4307015008],,93.8
488,7422-020-008,033B209 267,1228 N CARY AVE,90744,CD 15 - Tim McOsker,Wilmington - Harbor City,Wilmington,R1,Single Family Residential,R1-1XL-O-HPOZ-CUGU,Low Residential,,2,7512.7,1764.0,1948.0,1.0,0100 - Residential - Single Family Residence,324837.0,119496.0,444333.0,True,Not Eligible,Yes,Low,Low,Methane Zone,Outside Flood Zone,,No [APN: 7422020008],,90.6
489,5088-002-034,135B177 518,6120 W WILSHIRE BLVD,90048,CD 5 - Katy Young Yaroslavsky,Wilshire,Mid City West,[Q]C4-2D-O,,[Q]C4-2D-O,Regional Center Commercial,,2,10395.0,529.0,1999.0,0.0,1100 - Commercial - Store - One Story,1710264.0,81544.0,1791808.0,True,OC-3,Yes,Medium-High,High,Methane Zone,Outside Flood Zone,,No [APN: 5088002034],Yes,90.6
490,4246-013-004,114B153 1166,3624 S STEWART AVE,90066,CD 11 - Traci Park,Palms - Mar Vista - Del Rey,Mar Vista,R1,Single Family Residential,R1V2,Low Residential,LOS ANGELES COASTAL TRANSPORTATION CORRIDOR,2,5075.0,1077.0,1952.0,1.0,0100 - Residential - Single Family Residence,446131.0,140725.0,586856.0,True,Not Eligible,Yes,High,High,,Outside Flood Zone,,No [APN: 4246013004],,90.6
491,2005-020-026,192B093 342,23652 W SCHOENBORN ST,91304,CD 12 - John Lee,Chatsworth - Porter Ranch,West Hills,RE,Residential Estate,RE11-1,Very Low II Residential,VALLEY CIRCLE BOULEVARD - PLUMMER STREET SCENIC CORRIDOR,2,11036.5,1875.0,1964.0,1.0,0100 - Residential - Single Family Residence,397554.0,180742.0,578296.0,False,Not Eligible,,Low,Low,,Outside Flood Zone,,No [APN: 2005020026],,87.5
492,5208-013-011,139-5A225 181,,,CD 14 - Ysabel Jurado,Northeast Los Angeles,Lincoln Heights,[Q]R1-1D-HCR,,[Q]R1-1D-HCR,Low Residential,,0,3064.1,,,,010V - Residential - Single Family Residence - Vacant Land,5509.0,0.0,5509.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5208013011],,68.8
493,4382-034-008,159B157 273,9852 W WHITWELL DR,90210,CD 5 - Katy Young Yaroslavsky,Bel Air - Beverly Crest,Bel Air-Beverly Crest,RE,Residential Estate,RE20-1-H-HCR,Very Low I Residential,MULHOLLAND SCENIC PARKWAY (OUTER CORRIDOR),2,15118.4,4446.0,1977.0,1.0,0101 - Residential - Single Family Residence - Pool,788398.0,927734.0,1716132.0,False,Not Eligible,,High,High,,Outside Flood Zone,,No [APN: 4382034008],,87.5
494,5045-009-012,117B181 667,"3845 W MARTIN LUTHER KING, JR BLVD",90008,CD 10 - Heather Hutt,West Adams - Baldwin Hills - Leimert,Empowerment Congress West,R1,Single Family Residential,R1-1,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,6069.0,1864.0,1952.0,1.0,0100 - Residential - Single Family Residence,253473.0,70708.0,324181.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5045009012],,90.6
495,2528-015-002,204B173 264,10114 N BROMONT AVE,91352,CD 7 - Monica Rodriguez,Sun Valley - La Tuna Canyon,Foothill Trails District,RA-1-K,,RA-1-K,Very Low Residential,SAN GABRIEL / VERDUGO MOUNTAINS SCENIC PRESERVATION,2,6263.0,1280.0,1957.0,1.0,0100 - Residential - Single Family Residence,12523.0,239445.0,251968.0,False,Not Eligible,,Low,Medium,,Outside Flood Zone,,No [APN: 2528015002],,84.4
496,6004-033-032,108B201 1387,676 W SLAUSON AVE,90044,CD 9 - Curren D. Price Jr.,South Los Angeles,Voices,C2,General Commercial,C2-1VL-CPIO,Neighborhood Commercial,SOUTH LOS ANGELES ALCOHOL SALES,3,4855.1,4860.0,1924.0,0.0,"2400 - Commercial - Non-Auto Service and Repair Shop, Paint Shop, or Laundry - One Story",659362.0,543231.0,1202593.0,True,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,No [APN: 6004033032],Yes,93.8
497,5169-003-009,118-5A223 160,3150 E PICO BLVD,90023,CD 14 - Ysabel Jurado,Boyle Heights,Boyle Heights,M3,Heavy Industrial,M3-1-CUGU,Heavy Manufacturing,,0,126105.1,1038.0,1943.0,0.0,3260 - Industrial - Heavy Manufacturing - One Story,624886.0,580530.0,1205416.0,True,Not Eligible,Yes,Low,Medium,Methane Buffer Zone,Outside Flood Zone,,No [APN: 5169003009],,90.6
498,5033-020-017,117B185 1211,3940 S OLMSTED AVE,90008,CD 10 - Heather Hutt,West Adams - Baldwin Hills - Leimert,Empowerment Congress West,R1,Single Family Residential,R1-1,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,6003.4,1521.0,1940.0,1.0,0100 - Residential - Single Family Residence,364007.0,99514.0,463521.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5033020017],,90.6
499,2242-020-017,177B145 99,15035 W SYLVAN ST,91411,CD 6 - Imelda Padilla,Van Nuys - North Sherman Oaks,Van Nuys,R1,Single Family Residential,R1-1,Low Residential,,0,6242.4,1098.0,1946.0,1.0,0100 - Residential - Single Family Residence,32031.0,36988.0,69019.0,True,Not Eligible,Yes,Low,Medium,Methane Buffer Zone,Outside Flood Zone,,No [APN: 2242020017],,90.6
500,5716-015-017,156A235 120,929 N ADELANTE AVE,90042,CD 14 - Ysabel Jurado,Northeast Los Angeles,Historic Highland Park,R1,Single Family Residential,R1-1-HCR,Low Residential,,0,6388.6,1530.0,1960.0,1.0,0100 - Residential - Single Family Residence,637775.0,174369.0,812144.0,False,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,No [APN: 5716015017],,87.5
501,4001-026-011,105B177 566,,,,,Westchester/Playa,,,,,,0,5811.0,1734.0,1941.0,1.0,0100 - Residential - Single Family Residence,264152.0,229853.0,494005.0,False,Not Eligible,Yes,,,,Outside Flood Zone,,No [APN: 4001026011],,56.2
502,5110-030-028,108B201 222,151 W 52ND PL,90037,CD 9 - Curren D. Price Jr.,Southeast Los Angeles,Zapata King,R2,Two Family Residential,R2-1,Low Medium I Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,4591.0,972.0,1905.0,1.0,0100 - Residential - Single Family Residence,14765.0,10754.0,25519.0,True,Not Eligible,Yes,Low,"Low if plans submitted after 2/17/2021, otherwise exempt",,Outside Flood Zone,,No [APN: 5110030028],Yes,93.8
503,2202-008-005,186B129 158,17430 W LULL ST,91325,CD 12 - John Lee,Reseda - West Van Nuys,Northridge South,R1,Single Family Residential,R1-1,Low Residential,,0,7938.3,1347.0,1950.0,1.0,0100 - Residential - Single Family Residence,473280.0,129286.0,602566.0,False,Not Eligible,,Medium,Medium,,Outside Flood Zone,,No [APN: 2202008005],,84.4
504,5588-012-014,153B197 249,4797 W BRYN MAWR RD,90027,CD 4 - Nithya Raman,Hollywood,Los Feliz,RE,Residential Estate,RE11-1,Very Low II Residential,,0,13090.5,4880.0,1926.0,1.0,0100 - Residential - Single Family Residence,2057893.0,1010634.0,3068527.0,True,Not Eligible,Yes,Medium-High,High,,Outside Flood Zone,,No [APN: 5588012014],,87.5
506,7454-024-024,012B197 174,1326 S CABRILLO AVE,90731,CD 15 - Tim McOsker,San Pedro,Central San Pedro,R2,Two Family Residential,R2-1XL,Low Medium I Residential,,0,1280.6,432.0,1925.0,1.0,0100 - Residential - Single Family Residence,92850.0,12159.0,105009.0,False,Not Eligible,Yes,Low,Medium,,Outside Flood Zone,,No [APN: 7454024024],,87.5
507,2701-003-040,213B109 752,,,CD 12 - John Lee,Chatsworth - Porter Ranch,Porter Ranch,[T]C4-2D,,[T]C4-2D,Community Commercial,PORTER RANCH LAND USE / TRANSPORTATION,2,20738.5,,,,010V - Residential - Single Family Residence - Vacant Land,10.0,0.0,10.0,False,Not Eligible,,Low,Low,,Outside Flood Zone,,No [APN: 2701003040],,68.8
508,4104-014-003,102B169 385,5812 W 75TH ST,90045,CD 11 - Traci Park,Westchester - Playa del Rey,Westchester/Playa,R1,Single Family Residential,R1-1,Low Residential,LOS ANGELES COASTAL TRANSPORTATION CORRIDOR,2,8472.9,2886.0,1950.0,1.0,0100 - Residential - Single Family Residence,386173.0,411154.0,797327.0,False,Not Eligible,Yes,High,High,,Outside Flood Zone,,No [APN: 4104014003],,90.6
509,2246-022-010,174B153 543,5705 N MATILIJA AVE,91401,CD 2 - Adrin Nazarian,Van Nuys - North Sherman Oaks,Greater Valley Glen,R1,Single Family Residential,R1-1,Low Residential,,0,8077.6,2002.0,1950.0,1.0,0100 - Residential - Single Family Residence,137447.0,279172.0,416619.0,True,Not Eligible,Yes,Low,Medium,,Outside Flood Zone,,No [APN: 2246022010],,87.5
510,6011-004-040,102B205 350,219 E 69TH ST,90003,CD 9 - Curren D. Price Jr.,Southeast Los Angeles,Community and Neighbors for Ninth District Unity,R2,Two Family Residential,R2-1,Low Medium I Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,5428.0,1540.0,1924.0,1.0,0100 - Residential - Single Family Residence,311000.0,153000.0,464000.0,True,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,No [APN: 6011004040],Yes,93.8
511,4369-001-018,144B145 124,1172 N LINDA FLORA DR,90049,CD 5 - Katy Young Yaroslavsky,Bel Air - Beverly Crest,Bel Air-Beverly Crest,RE,Residential Estate,RE20-1-H-HCR,Very Low I Residential,,0,49962.4,4979.0,2018.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,1875841.0,2844571.0,4720412.0,False,Not Eligible,,High,High,,Outside Flood Zone,,No [APN: 4369001018],Yes,87.5
512,6015-014-022,102B193 284,1636 W 66TH ST,90047,CD 8 - Marqueece Harris-Dawson,South Los Angeles,Empowerment Congress Central,R1,Single Family Residential,R1-1,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,4054.1,1148.0,1948.0,1.0,0100 - Residential - Single Family Residence,158145.0,57648.0,215793.0,True,Not Eligible,Yes,Low,Low,,500 Yr,,No [APN: 6015014022],,90.6
513,2375-008-026,165B161 628,4305 N GOODLAND AVE,91604,CD 4 - Nithya Raman,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,Studio City,R1,Single Family Residential,R1-1-RIO,Low Residential,,1,5880.1,1512.0,1940.0,1.0,0100 - Residential - Single Family Residence,261086.0,323668.0,584754.0,False,Not Eligible,Yes,Medium,High,,Outside Flood Zone,,No [APN: 2375008026],,87.5
514,6073-003-009,088-5A205 37,320 E 108TH ST,90061,CD 8 - Marqueece Harris-Dawson,Southeast Los Angeles,Empowerment Congress Southeast,R2,Two Family Residential,R2-1,Low Medium I Residential,SOUTH LOS ANGELES ALCOHOL SALES,2,5424.2,1726.0,2008.0,1.0,"0200 - Residential - Double, Duplex, or Two Units - 4 Stories or Less",375600.0,255847.0,631447.0,True,Not Eligible,Yes,Low,Low,,Outside Flood Zone,,Yes [APN: 6073003009],Yes,93.8
515,5468-032-025,151-5A229 452,153 1/2 S AVE 56,90042,CD 1 - Eunisses Hernandez,Northeast Los Angeles,Historic Highland Park,RD2,,RD2-1-HPOZ-HCR,Low Medium II Residential,AVENUE 57 TRANSIT ORIENTED DISTRICT,3,8722.0,869.0,1912.0,1.0,0500 - Residential - Five or More Units or Apartments (Any Combination) - 4 Stories or Less,137605.0,170865.0,308470.0,True,Not Eligible,Yes,Medium,Medium,,Outside Flood Zone,,Yes [APN: 5468032025],Yes,90.6
516,4362-019-004,141B153 90,454 N CUESTA WAY,90077,CD 5 - Katy Young Yaroslavsky,Bel Air - Beverly Crest,Bel Air-Beverly Crest,RE,Residential Estate,RE20-1-H-HCR,Very Low I Residential,,0,82034.5,18778.0,2016.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,60343200.0,34136019.0,94479219.0,True,Not Eligible,Yes,High,High,,Outside Flood Zone,,No [APN: 4362019004],,87.5
